Date,Close/Last,Volume,Open,High,Low
08/12/2022,$187.09,47809420,$181.60,$187.18,$179.53
08/11/2022,$179.42,50932660,$181.31,$187.07,$178.76
08/10/2022,$180.97,59742250,$176.98,$181.18,$173.1701
08/09/2022,$170.86,66826270,$172.52,$174.4719,$167.24
08/08/2022,$177.93,98378320,$175.02,$182.39,$172.42
08/05/2022,$189.89,38606830,$188.10,$192.2892,$186.66
08/04/2022,$192.15,40965230,$188.49,$192.74,$187.60
08/03/2022,$188.93,41814560,$181.84,$189.68,$181.37
08/02/2022,$185.26,48952690,$181.22,$189.3753,$180.92
08/01/2022,$184.41,47646900,$181.82,$188.46,$179.90
07/29/2022,$181.63,43546040,$178.13,$182.44,$176.92
07/28/2022,$179.84,47464630,$179.75,$181.40,$174.40
07/27/2022,$177.90,56977620,$170.32,$179.36,$169.1301
07/26/2022,$165.33,39786490,$168.89,$169.19,$164.78
07/25/2022,$170.24,48074750,$170.19,$171.24,$166.49
07/22/2022,$173.19,53667090,$178.93,$179.67,$171.365
07/21/2022,$180.50,55704930,$178.85,$181.44,$175.4456
07/20/2022,$178.07,76053780,$169.47,$179.325,$168.01
07/19/2022,$169.92,70236610,$164.86,$171.10,$161.7201
07/18/2022,$161.01,67051750,$163.02,$168.97,$160.02
07/15/2022,$157.62,38593550,$156.59,$157.82,$154.45
07/14/2022,$153.72,45623480,$151.08,$154.7299,$147.28
07/13/2022,$151.64,52191830,$145.90,$153.75,$144.65
07/12/2022,$150.82,45848310,$152.68,$154.31,$148.77
07/11/2022,$151.52,43838870,$155.26,$155.2699,$150.3801
07/08/2022,$158.38,46797180,$154.30,$160.3699,$153.89
07/07/2022,$158.58,49290280,$154.555,$159.45,$153.89
07/06/2022,$151.30,52906590,$150.10,$153.1899,$147.89
07/05/2022,$149.64,65220760,$141.75,$149.71,$140.55
07/01/2022,$145.23,57761010,$148.99,$150.6291,$143.92
06/30/2022,$151.59,68607000,$153.61,$155.67,$148.62
06/29/2022,$155.42,48235230,$158.14,$158.20,$151.70
06/28/2022,$159.82,46185940,$169.00,$172.0199,$159.45
06/27/2022,$168.69,42796790,$173.12,$173.30,$166.255
06/24/2022,$171.26,47215280,$165.00,$171.40,$163.10
06/23/2022,$162.25,46367960,$165.185,$165.85,$158.53
06/22/2022,$163.60,43799740,$162.26,$166.62,$161.80
06/21/2022,$165.66,48308890,$164.745,$170.08,$164.07
06/17/2022,$158.80,63033400,$156.48,$159.95,$153.28
06/16/2022,$156.01,54574870,$158.60,$159.4232,$154.01
06/15/2022,$165.27,56393570,$160.95,$168.68,$159.26
06/14/2022,$158.36,46967950,$157.31,$160.66,$154.12
06/13/2022,$156.47,60415340,$160.00,$163.12,$156.06
06/10/2022,$169.74,46564970,$176.00,$176.97,$168.69
06/09/2022,$180.48,39557380,$184.81,$189.33,$180.41
06/08/2022,$186.48,36325250,$187.99,$191.80,$185.35
06/07/2022,$189.26,38891410,$184.72,$190.00,$181.88
06/06/2022,$187.86,42240620,$191.39,$193.37,$185.642
06/03/2022,$187.20,59877870,$190.815,$193.323,$185.2156
06/02/2022,$195.92,64865580,$182.92,$196.19,$181.98
06/01/2022,$183.20,54451390,$187.24,$190.5318,$181.22
05/31/2022,$186.72,66409950,$189.80,$192.00,$183.50
05/27/2022,$188.11,73837940,$181.86,$188.81,$181.00
05/26/2022,$178.51,99657450,$160.36,$180.92,$160.22
05/25/2022,$169.75,78113190,$160.20,$171.1099,$160.00
05/24/2022,$161.54,58855000,$165.10,$165.97,$157.80
05/23/2022,$168.98,63988870,$162.74,$169.15,$161.7901
05/20/2022,$166.94,73910530,$173.32,$174.10,$157.55
05/19/2022,$171.24,62130960,$169.37,$176.87,$167.3405
05/18/2022,$169.38,54516110,$177.05,$181.18,$168.64
05/17/2022,$181.77,58582970,$180.74,$183.71,$176.34
05/16/2022,$172.64,52144600,$175.09,$177.88,$171.06
05/13/2022,$177.06,67043650,$167.88,$179.2843,$165.925
05/12/2022,$161.75,70872840,$162.191,$167.88,$155.67
05/11/2022,$166.30,67016700,$173.47,$177.53,$165.68
05/10/2022,$175.95,76147430,$176.89,$181.98,$170.25
